DATE_TIME,HIGH,LOW,OPEN,CLOSE
2018.07.26 01:00:00,1.53009,1.52933,1.52979,1.52985
2018.07.26 01:15:00,1.53051,1.52982,1.52986,1.53037
2018.07.26 01:30:00,1.53036,1.52971,1.53036,1.52983
2018.07.26 01:45:00,1.53024,1.5296,1.52982,1.53023
2018.07.26 02:00:00,1.53023,1.52964,1.53022,1.5297
2018.07.26 02:15:00,1.53,1.52941,1.5297,1.52985
2018.07.26 02:30:00,1.53041,1.52967,1.52985,1.53001
2018.07.26 02:45:00,1.5304,1.52991,1.53,1.53037
2018.07.26 03:00:00,1.53037,1.52928,1.53037,1.5294
2018.07.26 03:15:00,1.52948,1.52914,1.5294,1.5292
2018.07.26 03:30:00,1.52927,1.52863,1.5292,1.52905
2018.07.26 03:45:00,1.52963,1.52887,1.52905,1.52914
2018.07.26 04:00:00,1.52952,1.52902,1.52915,1.52906
2018.07.26 04:15:00,1.52988,1.52878,1.52906,1.52957
2018.07.26 04:30:00,1.52963,1.52924,1.52958,1.52943
2018.07.26 04:45:00,1.52958,1.529,1.52949,1.52946
2018.07.26 05:00:00,1.52975,1.52936,1.52946,1.52968
2018.07.26 05:15:00,1.52972,1.52942,1.52967,1.52962
2018.07.26 05:30:00,1.52992,1.52927,1.52964,1.52934
2018.07.26 05:45:00,1.52994,1.52934,1.52934,1.52981
2018.07.26 06:00:00,1.52996,1.5297,1.5298,1.52975
2018.07.26 06:15:00,1.52998,1.52963,1.52975,1.52977
2018.07.26 06:30:00,1.52988,1.52945,1.52977,1.5296
2018.07.26 06:45:00,1.5297,1.5294,1.52962,1.52946
2018.07.26 07:00:00,1.52977,1.52945,1.52945,1.52961
2018.07.26 07:15:00,1.5297,1.52951,1.52961,1.52963
2018.07.26 07:30:00,1.52963,1.52924,1.52963,1.52933
2018.07.26 07:45:00,1.5296,1.52928,1.52933,1.52937
2018.07.26 08:00:00,1.52953,1.5291,1.52938,1.5294
2018.07.26 08:15:00,1.5296,1.52929,1.5294,1.52952
2018.07.26 08:30:00,1.53035,1.52946,1.52952,1.53024
2018.07.26 08:45:00,1.5304,1.53007,1.53024,1.53014
2018.07.26 09:00:00,1.53017,1.5296,1.53014,1.5297
2018.07.26 09:15:00,1.5304,1.52946,1.5297,1.53018
2018.07.26 09:30:00,1.5304,1.5297,1.53018,1.5301
2018.07.26 09:45:00,1.5306,1.529,1.53014,1.52923
2018.07.26 10:00:00,1.52988,1.5289,1.52923,1.52961
2018.07.26 10:15:00,1.5301,1.52896,1.52961,1.52912
2018.07.26 10:30:00,1.52948,1.52872,1.52908,1.52944
2018.07.26 10:45:00,1.52951,1.5289,1.52945,1.5291
2018.07.26 11:00:00,1.5293,1.52871,1.5291,1.529
2018.07.26 11:15:00,1.52914,1.5282,1.529,1.52863
2018.07.26 11:30:00,1.5289,1.52832,1.52863,1.52852
2018.07.26 11:45:00,1.52859,1.52776,1.52852,1.52813
2018.07.26 12:00:00,1.52832,1.5279,1.52815,1.52816
2018.07.26 12:15:00,1.52823,1.5272,1.5282,1.52765
2018.07.26 12:30:00,1.5279,1.527,1.52765,1.52752
2018.07.26 12:45:00,1.52816,1.52734,1.52752,1.52782
2018.07.26 13:00:00,1.52799,1.52683,1.52781,1.52705
2018.07.26 13:15:00,1.5272,1.52638,1.52705,1.5264
2018.07.26 13:30:00,1.52643,1.5254,1.5264,1.52591
2018.07.26 13:45:00,1.52603,1.52541,1.52591,1.5257
2018.07.26 14:00:00,1.52606,1.52523,1.52567,1.52601
2018.07.26 14:15:00,1.52761,1.52576,1.52601,1.52757
2018.07.26 14:30:00,1.5297,1.52756,1.52757,1.52905
2018.07.26 14:45:00,1.52944,1.52818,1.52905,1.52906
2018.07.26 15:00:00,1.5299,1.52825,1.52906,1.52871
2018.07.26 15:15:00,1.52881,1.52741,1.52871,1.52758
2018.07.26 15:30:00,1.52996,1.52658,1.52758,1.52904
2018.07.26 15:45:00,1.52914,1.5262,1.52904,1.52693
2018.07.26 16:00:00,1.5277,1.52614,1.52693,1.52642
2018.07.26 16:15:00,1.52715,1.52483,1.52642,1.5251
2018.07.26 16:30:00,1.52524,1.5223,1.5251,1.5239
