,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,a,s
1194,AUDUSD,15,0.0002,66,48,1086,95,108,0.47,1.375,701.8275,5.58,AUDUSD,15,0.0002,66,48,498,41,46,0.47,1.375,321.8325,588,1023.66
1141,AUDUSD,15,0.0002,64,21,793,100,267,0.27,3.047619048,652.5257143,1.95,AUDUSD,15,0.0002,64,21,426,48,126,0.28,3.047619048,363.52,367,1016.045714
1450,AUDUSD,15,0.0002,56,25,1074,129,246,0.34,2.24,817.9584,2.54,AUDUSD,15,0.0002,56,25,266,61,126,0.33,2.24,196.6272,808,1014.5856
1489,AUDUSD,15,0.0002,57,36,1221,125,164,0.43,1.583333333,831.2975,3.99,AUDUSD,15,0.0002,57,36,276,56,81,0.41,1.583333333,179.17,945,1010.4675
1381,AUDUSD,15,0.0002,61,36,1133,113,160,0.41,1.694444444,787.1202778,3.77,AUDUSD,15,0.0002,61,36,328,52,79,0.4,1.694444444,222.3111111,805,1009.431389
1462,AUDUSD,15,0.0002,79,31,993,73,154,0.32,2.548387097,809.7754839,4.2,AUDUSD,15,0.0002,79,31,251,33,76,0.3,2.548387097,191.8935484,742,1001.669032
1159,AUDUSD,15,0.0002,78,25,778,76,206,0.27,3.12,655.3872,2.81,AUDUSD,15,0.0002,78,25,411,37,99,0.27,3.12,346.2264,367,1001.6136
1117,AUDUSD,15,0.0002,76,23,714,79,230,0.26,3.304347826,613.4191304,2.74,AUDUSD,15,0.0002,76,23,450,38,106,0.26,3.304347826,386.6086957,264,1000.027826
1243,AUDUSD,15,0.0002,57,22,882,122,276,0.31,2.590909091,708.4063636,2.49,AUDUSD,15,0.0002,57,22,367,57,131,0.3,2.590909091,285.2590909,515,993.6654545
1578,AUDUSD,15,0.0002,69,31,1078,92,170,0.35,2.225806452,839.7967742,4,AUDUSD,15,0.0002,69,31,187,40,83,0.33,2.225806452,137.3545161,891,977.1512903
1182,AUDUSD,15,0.0002,76,24,744,78,216,0.27,3.166666667,636.12,3,AUDUSD,15,0.0002,76,24,388,37,101,0.27,3.166666667,331.74,356,967.86
1469,AUDUSD,15,0.0002,55,25,1010,132,250,0.35,2.2,777.7,3,AUDUSD,15,0.0002,55,25,260,62,126,0.33,2.2,188.76,750,966.46
1133,AUDUSD,15,0.0002,63,21,735,101,268,0.27,3,595.35,1.68,AUDUSD,15,0.0002,63,21,441,49,126,0.28,3,370.44,294,965.79
1197,AUDUSD,15,0.0002,62,49,1042,99,104,0.49,1.265306122,646.04,5.39,AUDUSD,15,0.0002,62,49,510,43,44,0.49,1.265306122,316.2,532,962.24
1050,AUDUSD,15,0.0002,66,16,572,94,352,0.21,4.125,495.495,1.22,AUDUSD,15,0.0002,66,16,490,45,155,0.23,4.125,464.8875,82,960.3825
1172,AUDUSD,15,0.0002,69,25,773,92,223,0.29,2.76,618.7092,2.26,AUDUSD,15,0.0002,69,25,424,46,110,0.29,2.76,339.3696,349,958.0788
1070,AUDUSD,15,0.0002,71,54,837,81,91,0.47,1.314814815,517.235,4.75,AUDUSD,15,0.0002,71,54,663,39,39,0.5,1.314814815,435.8611111,174,953.0961111
