,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR,s,a
266,AUDUSD,25,0.0001,76,56,740,65,75,0.46,1.357142857,461.9714286,4.72,25,0.0001,76,56,416,32,36,0.47,1.357142857,265.3485714,6.04,324,727.32
449,AUDUSD,25,0.0001,73,66,938,68,61,0.53,1.106060606,549.8669697,7.67,25,0.0001,73,66,290,32,31,0.51,1.106060606,163.5863636,4.89,648,713.4533333
339,AUDUSD,25,0.0001,70,66,870,69,60,0.53,1.060606061,489.0454545,6.08,25,0.0001,70,66,396,33,29,0.53,1.060606061,222.6,6.08,474,711.6454545
417,AUDUSD,25,0.0001,68,66,934,71,59,0.55,1.03030303,529.2666667,7.7,25,0.0001,68,66,330,33,29,0.53,1.03030303,180.2,5.02,604,709.4666667
375,AUDUSD,25,0.0001,71,66,873,69,61,0.53,1.075757576,497.7422727,6.61,25,0.0001,71,66,363,33,30,0.52,1.075757576,203.06,5.24,510,700.8022727
374,AUDUSD,25,0.0001,70,67,880,70,60,0.54,1.044776119,496.4776119,6.98,25,0.0001,70,67,367,33,29,0.53,1.044776119,203.219403,5.61,513,699.6970149
380,AUDUSD,25,0.0001,75,66,840,64,60,0.52,1.136363636,496.3636364,7.32,25,0.0001,75,66,345,31,30,0.51,1.136363636,199.9431818,5.91,495,696.3068182
497,AUDUSD,25,0.0001,73,67,950,69,61,0.53,1.089552239,548.5895522,7.2,25,0.0001,73,67,259,32,31,0.51,1.089552239,143.9189552,4.4,691,692.5085074
453,AUDUSD,25,0.0001,68,67,943,72,59,0.55,1.014925373,526.3910448,7.25,25,0.0001,68,67,301,33,29,0.53,1.014925373,161.9110448,4.55,642,688.3020896
480,AUDUSD,25,0.0001,77,66,891,63,60,0.51,1.166666667,530.145,6.93,25,0.0001,77,66,264,30,31,0.49,1.166666667,150.92,4.07,627,681.065
